word,log_prob_ratio
awesome instructor,2.41042626651155
long try,2.410165091871514
interesting learned,2.4092086931006733
lots opportunities,2.4089324209785072
absolutely hilarious,2.4085645849901116
happy took,2.4077792826317985
willing gives,2.407094027514322
tough fair,2.4060299823698816
great knowledgeable,2.402322626669113
easy follow,2.396504495196795
best met,2.394836800750424
interesting fun,2.394655360555145
loved super,2.3930052252704552
learning fun,2.392601701393012
fun interactive,2.391976977863136
truly gem,2.3891315283858354
long effort,2.388525158883901
tell cares,2.3861158008362917
wish teach,2.3852699061520344
explains thoroughly,2.383727435226918
chillest,2.3831246193378917
understanding cares,2.3795515466623396
incredibly helpful,2.3777486407774955
inspires,2.3774799733114076
little dry,2.376055796955926
thoughtprovoking,2.3747906461019035
kept engaged,2.373892040751519
funny understanding,2.3738814369024865
fun talk,2.3733468769694017
instructor cares,2.371983963573454
enjoyed having,2.371131123444055
amazing engaging,2.3701714105455913
best highly,2.3683360842537216
provides excellent,2.3674145448720125
best college,2.3673106471989502
cares,2.3668298208676957
truly passionate,2.365972928811587
great genuinely,2.361872925308223
awesome feedback,2.359903704496171
exactly need,2.3582340395410863
cares tries,2.356302394748109
best make,2.3562836742835067
effort youll,2.3558782903279933
beautiful,2.354247243813422
great overall,2.35368524558889
inspiration,2.3534977450529
entertaining,2.352896196892784
learned alot,2.352023625166355
best accounting,2.3510162453424446
insightful,2.350672469531924
fun enjoyed,2.3501556583274468
highly recommend,2.349635125239777
extremely accessible,2.349295155648326
understands life,2.3478370169096205
sweet caring,2.3473760727467745
amazing enjoyed,2.345141416747964
sure student,2.3430596918581603
provoking,2.3422883297791426
wonderful instructor,2.3417157313602335
learned ton,2.3410033798435474
truly caring,2.3391657433797057
overall highly,2.337686553284298
understanding easy,2.336688834274348
cares takes,2.3360743228531895
pleasure taking,2.3355179031031277
sweetest professors,2.3345166647358866
loved definitely,2.3340403698102126
lots examples,2.3327057054514615
shows cares,2.332522779254184
plenty complete,2.332453008987004
great organized,2.3321716466190328
succeed willing,2.3245889166327487
absolute best,2.3243534170727482
love man,2.32412953314436
caring willing,2.323623322103405
favorite semester,2.3225181818945853
caring knowledgeable,2.3220847753683778
funny engaging,2.3218028770372374
truly cared,2.32064163352198
easy interesting,2.320609035467994
great insight,2.3184563415722828
great advice,2.31845372421151
happy answer,2.3177754079893553
interesting funny,2.3149227140825577
classes amazing,2.3132306655611004
loves teaches,2.3129100837158774
thoughtful,2.3102866225428045
great available,2.3097633066114263
sensei,2.3097591282660694
amazing understanding,2.309169311347784
engaging funny,2.308683566083907
great tries,2.3080992795076174
knowledgeable helpful,2.30720301281454
awesome understanding,2.3071833895422813
best took,2.3059896431001867
takes make,2.3048935437173377
interesting easy,2.3025692611650896
tell genuinely,2.302484618067181
loving,2.3021845536125873
gave amazing,2.3021767337892065
interesting cares,2.3014905413620905
loved going,2.3014207118821766
kind patient,2.3000424911418804
makes manageable,2.299984319482265
excellent job,2.2974016029173594
awesome shes,2.296694006487707
love shes,2.2961058176342437
feedback helped,2.295607388533199
kind genuinely,2.2944165970405326
caring cares,2.294222776514008
easy fun,2.2938246116166567
willing long,2.292661426472476
wants learn,2.291326314719754
enjoyed prof,2.2902586380660015
fun attend,2.2899119609711303
pretty great,2.289461103219489
incredibly understanding,2.286813328312922
absolutely love,2.2862925345822127
amazing extremely,2.284827396957077
fun gives,2.2847663906492297
great extremely,2.283064771620001
kept interesting,2.2828065020514554
willing understand,2.2819670416081337
makes great,2.2815739656171896
tell truly,2.281475457716004
gives opportunities,2.2798516233923287
provided great,2.278963458293145
easy long,2.2778967163238173
interesting discussions,2.2770496502185953
takes explain,2.2769399510613333
cares recommend,2.276646111510029
thought provoking,2.275492139919292
loved easy,2.2748691930904172
easy pay,2.274118111206228
pleasure,2.273836932669793
contagious,2.2722461490465697
cares provides,2.271466439693695
helps succeed,2.2706056963869656
super knowledgeable,2.2700908069241326
great attendance,2.2697963528362504
amazing ive,2.2688310987488602
love style,2.268660180079042
easy possible,2.268468888745989
hes willing,2.2684354165075025
provides plenty,2.268393378078608
great kind,2.265237584109043
best love,2.2651183112768933
study fine,2.264262591516344
willing need,2.2627812542576518
inspiring,2.262380395192869
nicest ive,2.2614810982852394
amazing nice,2.2598243316578532
easy readings,2.2597168912987335
classes fun,2.259109650351901
available extra,2.257841994348297
great office,2.2575230508527557
extremely engaging,2.2571577039185833
great provides,2.2570775983837734
welcomes,2.2564062909098244
awesome recommend,2.2550541640779667
wonderful caring,2.254739034048166
wish teachers,2.2543738540599083
best easy,2.2543592285075036
professors super,2.252980215093512
incredibly caring,2.2526924763008385
willing outside,2.2510293869611644
overall loved,2.250806538141969
super awesome,2.250491710599116
patiently,2.250487755513758
loved great,2.2502802895027525
real life,2.24990468218944
refreshing,2.2498431618313113
enjoyed recommend,2.2489320926873653
understanding highly,2.2488461223128553
fantastic instructor,2.248116986744906
comfort zone,2.2478539320562927
easy definitely,2.2476337294537228
classes enjoyable,2.2462578931707764
reallife examples,2.2462341990223766
plenty extra,2.2446822795251364
interesting super,2.244127881648245
passionate cares,2.2435733827054065
cares helpful,2.241587886654129
need willing,2.241519349450071
simply amazing,2.2413683935504647
helpful caring,2.2405532588754067
sure participate,2.2391373247730986
cares teaches,2.239131084547605
great best,2.238258184675221
enjoyed learned,2.237725885850658
fun definitely,2.2362960146709785
fun learn,2.235755535726197
tell loves,2.2340886861205167
recognizes,2.233874721736427
responds quickly,2.233603011990299
effort learn,2.233541245745135
everyday life,2.2330999371837166
great discussion,2.233098565107463
forward week,2.232250317523066
wont disappointed,2.2318277179511856
inspirational,2.2316896024469584
amazing helped,2.2316638060383784
helpful great,2.2315876505045633
gives awesome,2.230681039458574
genuinely cared,2.2302406378142567
labs fun,2.2285792452252604
feedback helps,2.227146127588494
knowledgeable caring,2.2245397458511906
definitely classes,2.222879072464899
amazing long,2.2228162422891433
great need,2.222423956802336
cares future,2.2221930301291195
interesting possible,2.2214364599245098
uses real,2.2212230201974386
kind helpful,2.2198205599226046
clear interesting,2.2193591061624254
awesome highly,2.2175951985066007
outstanding,2.216398697943756
overall enjoyed,2.21568362583921
ensures,2.213861933185708
